VentaID;Marca;Modelo;PrecioAuto
125374;hyundai;accent;12090
125389;kia;rio;12090
125404;kia;rio;12090
125414;mazda;mazda 2;13800
125460;hyundai;hd78;28200
125558;hyundai;i20;13800
125613;volkswagen;tiguan;16800
125640;hyundai;tucson;21600
125667;hyundai;santa fe;16800
125668;hyundai;santa fe;19200
125684;kia;cerato;13800
125698;suzuki;vitara;19200
125711;hyundai;elantra;16800
125720;hyundai;accent;12090
125741;hyundai;veloster;16800
125771;hyundai;creta;16800
125783;changan;grand van turismo;12090
125810;kia;rio;13800
125875;hyundai;accent;15900
125897;kia;sportage;12090
125900;kia;cerato;16800
125909;hyundai;accent;12090
125910;hyundai;santa fe;15900
125921;kia;rio;16800
125924;kia;cerato;16800
125949;kia;rio;13800
125957;hyundai;grand i10;12090
125959;kia;cerato;16800
125965;kia;cerato;15900
125968;mazda;mazda 3;21600
125970;kia;sportage;12090
125994;kia;rio;12090
126057;kia;rio;13800
126071;kia;rio;12090
126178;kia;rio;12090
126245;suzuki;swift;13800
126291;kia;rio;12090
126300;chevrolet;spark lite;12090
126349;kia;sportage;26400
126398;suzuki;swift;13800
126419;hyundai;accent;16800
126432;kia;cerato;15900
126479;hyundai;h-1 mbus;13800
126617;hyundai;h-1 mbus;13800
126625;hyundai;tucson;12090
126671;hyundai;elantra;12090
126688;mitsubishi;montero;19200
126711;chevrolet;n300;12090
126724;hyundai;elantra;15900
126745;kia;rio;13800
126748;kia;rio;12090
126756;seat;ibiza i - tech 2.0 mec;16800
126848;suzuki;vitara;19200
126852;suzuki;vitara;19200
126886;kia;rio;12090
126945;great wall;great wall m4;12090
126946;hyundai;h-1 mbus;24000
126949;hyundai;tucson;12090
126973;hyundai;tucson;24000
127074;suzuki;ertiga;13800
127080;kia;rio;12090
127088;hyundai;elantra;12090
127096;hyundai;h-1 6 van;24000
127106;hyundai;accent;16800
127158;kia;cerato;16800
127185;hyundai;tucson;12090
127194;kia;picanto;12090
127213;chevrolet;captiva;21600
127214;hyundai;i20;12090
127240;ssangyong;tivoli;16800
127261;kia;rio;12090
127281;hyundai;h-1 3 van;16800
127283;suzuki;grand vitara;19200
127287;hyundai;santa fe;28200
127289;hyundai;elantra;16800
127360;kia;rio;12090
127403;hyundai;tucson;12090
127409;kia;picanto;12090
127411;hyundai;elantra;16800
127417;kia;rio;12090
127429;hyundai;h-1 6 van;26400
127436;hyundai;santa fe;28200
127465;hyundai;tucson;16800
127469;hyundai;accent;12090
127470;kia;sorento;33600
127473;suzuki;vitara;15900
127475;volkswagen;gol;13800
127502;kia;rio;12090
127523;kia;rio;12090
127525;kia;cerato;16800
127526;hyundai;elantra;12090
127527;kia;cerato;12090
127541;suzuki;swift;12090
127560;kia;cerato;16800
127605;hyundai;tucson;24000
127666;changan;cs 35;13800
127690;great wall;wingle 5;15900
127705;kia;rio;15900
127718;hyundai;tucson;16800
127737;kia;cerato;16800
127748;kia;cerato;16800
127766;hyundai;accent;13800
127774;hyundai;tucson;19200
127775;kia;rio;15900
127777;hyundai;accent;12090
127810;hyundai;tucson;24000
127811;hyundai;accent;13800
127822;kia;cerato;16800
127823;hyundai;elantra;16800
127825;mazda;cx3;19200
127867;kia;rio;12090
127875;hyundai;accent;12090
127880;hyundai;elantra;15900
127896;suzuki;ertiga;12090
127973;hyundai;santa fe;16800
128031;kia;sportage;24000
128051;suzuki;swift;15900
128057;kia;rio;12090
128068;mazda;mazda 2;15900
128071;hyundai;accent;12090
128077;kia;rio;12090
128090;suzuki;apv gl;15900
128145;hyundai;elantra;19200
128160;kia;rio;13000
128167;hyundai;accent;13000
128182;hyundai;creta;21600
128202;hyundai;i30;16800
128260;kia;cerato;16800
128385;mazda;mazda 3;19200
128393;mazda;cx3;19200
128396;suzuki;apv furgon;15900
128411;mazda;cx3;21600
128412;hyundai;accent;13000
128459;hyundai;tucson;28200
128499;suzuki;swift;13000
128506;hyundai;grand i10;13000
128543;hyundai;elantra;19200
128562;kia;rio;13000
128572;mazda;mazda 3;19200
128573;kia;rio;16800
128582;hyundai;santa fe;14500
128588;kia;rio;15900
128652;hyundai;h-1 3 van;16800
128654;kia;rio;13000
128692;kia;rio;15900
128700;hyundai;accent;13000
128764;suzuki;ertiga;15000
128765;ssangyong;rodius;25200
128819;hyundai;accent;14500
128870;kia;rio;13000
128945;hyundai;elantra;18000
128983;kia;rio;13000
129046;suzuki;swift;15000
129095;great wall;great wall m4;13000
129099;kia;rio;13000
129185;mitsubishi;asx;24000
129193;kia;rio;16800
129198;kia;rio;13000
129200;hyundai;tucson;26400
129202;kia;sportage;19200
129239;honda;cr-v;28200
129240;kia;rio;13000
129244;volkswagen;amarok;30000
129369;hyundai;creta;19200
129457;hyundai;accent;13000
129466;hyundai;accent;13000
129487;hyundai;tucson;26400
129493;suzuki;swift;13000
129511;kia;sorento;16800
129512;kia;sorento;16800
129541;hyundai;accent;15900
129544;kia;cerato;16800
129556;kia;rio;13000
129614;hyundai;i30;16800
129652;kia;rio;13000
129670;mazda;mazda 3;16800
129691;kia;sportage;16800
129737;suzuki;swift;13000
129766;kia;rio;13000
129878;mazda;cx3;19200
129920;hyundai;tucson;14500
129931;kia;rio;14500
129938;hyundai;elantra;19200
129959;kia;cerato;13000
130014;kia;k 2700;16800
130037;kia;rio;13000
130076;hyundai;accent;13000
130144;kia;rio;13000
130172;hyundai;h-1 mbus;16800
130182;kia;rio;13000
130190;kia;rio;13000
130262;hyundai;santa fe;16800
130267;hyundai;accent;16800
130269;mazda;cx3;19200
130288;suzuki;apv gl;16800
130328;mazda;mazda 3;24000
130357;hyundai;accent;13000
130373;hyundai;elantra;16800
130400;hyundai;h-1 3 van;24000
130404;kia;carens;24000
130405;suzuki;apv gl;16800
130411;porsche;cayenne s tiptronic;30000
130470;hyundai;santa fe;14500
130472;hyundai;santa fe;14500
130519;kia;cerato;14500
130528;kia;picanto;13000
130561;hyundai;elantra;15900
130608;ssangyong;tivoli;16800
130644;kia;cerato;15900
130654;kia;rio;14500
130659;hyundai;accent;13000
130691;kia;rio;13000
130746;kia;sportage;21600
130781;hyundai;h-1 3 van;13000
130801;hyundai;santa fe;33600
130851;hyundai;i20;14500
130855;changan;cs 75;15900
130887;hyundai;h-1 3 van;13000
130910;kia;rio;13000
130913;hyundai;accent;16800
130982;citroen;ds3;19200
131009;kia;cerato;16800
131062;suzuki;apv gl;16800
131131;kia;rio;14500
131133;kia;cerato;15900
131216;kia;cerato;16800
131272;kia;rio;13000
131305;hyundai;santa fe;24000
131312;hyundai;tucson;19200
131323;hyundai;elantra;16800
131380;citroen;ds3;19200
131391;hyundai;accent;13000
131426;suzuki;alto;13000
131491;hyundai;accent;13000
131493;kia;rio;13000
131498;hyundai;h-1 3 van;13000
131538;kia;rio;13000
131586;hyundai;tucson;14500
131599;kia;sportage;19200
131625;kia;cerato;19200
131684;kia;cerato;15900
131715;kia;picanto;13000
131740;hyundai;tucson;24000
131750;hyundai;tucson;13000
131759;hyundai;tucson;21600
131773;hyundai;santa fe;16800
131774;suzuki;vitara;16800
131797;kia;rio;14500
131806;hyundai;tucson;16800
131812;kia;sportage;24000
131813;hyundai;accent;13000
131829;citroen;c3;16800
131835;kia;cerato;16800
131847;chevrolet;captiva;28200
131944;kia;rio;13000
132013;citroen;c3;16800
132027;volkswagen;gol;14500
132040;kia;rio;14500
132071;mitsubishi;l200;16800
132085;kia;rio;13000
132086;hyundai;elantra;16800
132093;hyundai;accent;14500
132101;hyundai;accent;13000
132102;hyundai;accent;13000
132124;kia;rio;14500
132159;kia;cerato;16800
132169;kia;rio;13000
132183;kia;sportage;24000
132191;kia;rio;13000
132192;hyundai;accent;13000
132193;hyundai;accent;13000
132224;kia;rio;13000
132231;hyundai;veloster;24000
132252;hyundai;elantra;13000
132255;hyundai;grand i10;13000
132259;suzuki;swift;13000
132262;suzuki;vitara;16800
132263;mazda;mazda 6;28200
132312;kia;rio;14500
132328;kia;rio;13000
132332;hyundai;accent;13000
132344;hyundai;new tucson;28200
132356;hyundai;accent;13000
132366;hyundai;creta;13000
132368;hyundai;accent;16800
132373;hyundai;creta;21600
132381;hyundai;accent;14500
132388;kia;cerato;16800
132391;kia;rio;13000
132394;kia;rio;13000
132395;kia;sportage;24000
132426;mazda;mazda 3;16800
132438;brilliance;v5;14500
132454;audi;q3 pi 1.4 tfsi stronic;19200
132492;kia;rio;13000
132515;kia;sportage;19200
132518;jaguar;xf;19200
132528;baic;x25;13000
132546;hyundai;accent;13000
132550;hyundai;elantra;16800
132574;kia;cerato;16800
132585;kia;rio;13000
132616;hyundai;santa fe;19200
132620;kia;rio;15900
132655;hyundai;h-1 3 van;26400
132670;mazda;mazda 3;21600
132673;hyundai;h-1 3 van;28200
132729;hyundai;accent;16800
132796;hyundai;accent;13000
132852;hyundai;accent;13000
132873;hyundai;h-100 truck;13000
132878;kia;rio;13000
132901;kia;rio;13000
132902;kia;rio;13000
132912;kia;rio;13000
132931;kia;rio;13000
132955;hyundai;new tucson;26400
133039;suzuki;ciaz;16800
133050;kia;rio;16800
133059;volkswagen;crafter;26400
133141;hyundai;accent;16800
133185;mazda;mazda 5;25800
133222;hyundai;accent;15000
133224;hyundai;new tucson;16800
133296;hyundai;elantra;19200
133302;hyundai;new tucson;19200
133370;hyundai;i20;16800
133451;hyundai;elantra;16800
133564;hyundai;elantra;19000
133592;hyundai;veloster;23400
133700;hyundai;accent;15000
133713;kia;rio;15000
133715;hyundai;new tucson;23400
133727;kia;cerato;19000
133745;kia;rio;15000
133757;kia;rio;15000
133761;mitsubishi;lancer;19000
133775;suzuki;ertiga;16800
133853;suzuki;ertiga;16800
133869;kia;sportage;15000
133876;suzuki;apv gl;15000
133882;hyundai;accent;15000
133888;kia;cerato;16800
133913;hyundai;accent;15000
133928;hyundai;elantra;16800
133936;hyundai;elantra;16800
134044;hyundai;accent;15000
134050;kia;cerato;15000
134066;honda;hr-v;23400
134074;hyundai;new tucson;23400
134092;kia;cerato;15000
134106;kia;rio;15000
134111;hyundai;accent;15000
134112;hyundai;elantra;16800
134118;kia;rio;15000
134143;hyundai;elantra;16800
134183;hyundai;accent;15000
134190;hyundai;accent;15000
134193;hyundai;accent;15000
134206;mazda;mazda 3;16800
134207;hyundai;new tucson;16800
134214;kia;cerato;16800
134225;kia;rio;15000
134226;hyundai;elantra;15000
134231;kia;sportage;23400
134246;kia;rio;15000
134265;chevrolet;sail;16800
134272;hyundai;accent;15000
134273;hyundai;hd 120;15000
134277;volkswagen;amarok;15000
134281;volkswagen;amarok;15000
134309;chevrolet;cruze;19000
134334;kia;cerato;16800
134340;hyundai;accent;15000
134347;kia;rio;15000
134350;hyundai;new tucson;24000
134352;kia;sportage;19000
134396;kia;cerato;15000
134402;hyundai;elantra;16800
134446;kia;rio;15000
134449;kia;rio;15000
134485;kia;sportage;30000
134585;kia;sportage;15000
134587;hyundai;i30;19000
134704;hyundai;h-1 3 van;15000
134708;hyundai;accent;15000
134745;hyundai;elantra;16800
134752;hyundai;santa fe;16800
134758;hyundai;santa fe;15000
134767;kia;rio;15000
134773;kia;cerato;15000
134778;hyundai;hd78;15000
134780;hyundai;accent;15000
134873;hyundai;elantra;16800
134883;kia;sorento;30000
134999;jmc;carrying;15000
135039;chevrolet;tracker;15000
135045;hyundai;elantra;15000
135047;hyundai;accent;15000
135048;chevrolet;n300;15000
135077;hyundai;santa fe;15000
135084;kia;cerato;15000
135187;hyundai;accent;15000
135210;kia;cerato;15000
135213;hyundai;santa fe;30000
135214;chevrolet;captiva;27600
135247;hyundai;accent;15000
135250;hyundai;elantra;16800
135251;hyundai;accent;15000
135252;suzuki;ertiga;15000
135255;chevrolet;n300;15000
135454;kia;cerato;15000
135483;kia;cerato;15000
135485;suzuki;grand nomade;25800
135548;kia;cerato;15000
135646;chevrolet;traverse;25800
135663;hyundai;i30;15000
135693;suzuki;apv gl;16800
135711;hyundai;i20;15000
135716;hyundai;creta;15000
135721;hyundai;elantra;16800
135722;hyundai;accent;15000
135742;kia;cerato;15000
135743;hyundai;elantra;19000
135758;kia;sorento;25800
135760;hyundai;elantra;15000
135762;hyundai;new tucson;15000
135771;hyundai;i20;16800
135775;suzuki;apv gl;15000
135781;kia;rio;15000
135782;hyundai;i30;15000
135791;kia;rio;15000
135798;suzuki;vitara;19000
135893;hyundai;elantra;16800
135918;hyundai;elantra;15000
135926;volkswagen;polo;15000
135929;kia;sorento;27600
135974;kia;cerato;16800
135977;chevrolet;sail;21200
136018;hyundai;accent;15000
136021;hyundai;creta;19000
136023;hyundai;elantra;15000
136026;kia;rio;15000
136032;suzuki;vitara;16800
136058;suzuki;apv gl;15000
136067;kia;rio;15000
136151;hyundai;new tucson;23400
136152;hyundai;creta;21200
136157;kia;sportage;21200
136181;hyundai;i20;15000
136182;hyundai;elantra;15000
136221;kia;cerato;16800
136222;chevrolet;cruze;19000
136230;kia;rio;15000
136278;kia;cerato;16800
136294;hyundai;santa fe;15000
136307;kia;sportage;16800
136311;hyundai;i30;16800
136347;kia;rio;15000
136465;hyundai;hd78;30000
136471;kia;cerato;16800
136487;mazda;mazda 3;15000
136489;mahindra;scorpio;16800
136491;hyundai;elantra;16800
136500;kia;sorento;27600
136534;mazda;mazda 3;19200
136547;kia;rio;15000
136765;kia;rio;15000
136834;hyundai;h-100 truck;19000
136877;chevrolet;captiva;15000
136880;kia;rio;15000
136885;suzuki;ertiga;15000
136976;kia;rio;15000
137031;kia;cerato;16800
137033;kia;cerato;19000
137035;hyundai;elantra;15000
137161;hyundai;hd78;30000
137203;kia;rio;15000
137215;hyundai;accent;15000
137276;kia;rio;15000
137290;kia;cerato;16800
137300;suzuki;apv gl;16800
137328;kia;sportage;23400
137330;kia;cerato;15000
137374;volkswagen;amarok;19000
137379;volkswagen;amarok;19000
137382;hyundai;accent;15000
137385;hyundai;santa fe;27600
137491;suzuki;apv gl;15000
137553;hyundai;elantra;16800
137577;kia;sportage;23400
137579;hyundai;new tucson;23400
137584;suzuki;apv gl;15000
137585;hyundai;elantra;15000
137637;kia;rio;15000
137642;kia;rio;15000
137683;hyundai;accent;15000
137732;kia;cerato;16800
137743;kia;rio;15000
137793;hyundai;h-1 mbus;25800
137879;hyundai;accent;15000
137909;hyundai;veloster;23400
138110;hyundai;accent;15000
138144;hyundai;accent;15000
138165;hyundai;accent;15000
138173;hyundai;new tucson;21200
138175;suzuki;grand vitara;16800
138184;kia;cerato;15000
138198;suzuki;vitara;16800
138209;great wall;great wall h3;15000
138216;hyundai;h-1 3 van;15000
138227;hyundai;accent;15000
138334;hyundai;accent;15000
138367;kia;rio;15000
138368;hyundai;new tucson;19000
138373;hyundai;accent;15000
138433;kia;cerato;16800
138520;kia;cerato;16800
138524;hyundai;santa fe;16800
138685;mazda;mazda 2;19000
138702;kia;rio;15000
138713;kia;cerato;16800
138714;hyundai;accent;15000
138723;hyundai;h-1 3 van;25800
138733;hyundai;h-1 mbus;27600
138744;mitsubishi;montero;30000
138753;suzuki;apv gl;16800
138985;hyundai;elantra;15000
139016;kia;cerato;16800
139058;hyundai;creta;19000
139070;kia;k 2700;15000
139110;hyundai;h-100 truck;19000
139117;hyundai;elantra;16800
139172;hyundai;h-1 mbus;15000
139237;mitsubishi;montero sport;21200
139268;hyundai;accent;16800
139291;hyundai;hd78;16800
139309;mazda;mazda 3;15000
139322;suzuki;ertiga;15000
139334;changan;cs 35;15000
139339;hyundai;elantra;16800
139343;kia;sportage;25800
139370;kia;rio;15000
139386;kia;rio;15000
139439;kia;rio;15000
139443;hyundai;elantra;16800
139447;hyundai;h-100 truck;16800
139461;hyundai;elantra;16800
139500;hyundai;accent;15000
139512;kia;rio;15000
139538;changan;cs 35;15000
139587;hyundai;elantra;19000
139670;hyundai;creta;21200
139759;hyundai;accent;15000
139764;kia;cerato;16800
139772;hyundai;accent;15000
139788;kia;cerato;15000
139815;kia;cerato;15000
139848;kia;k 2700;15000
139875;kia;sportage;30000
139883;hyundai;i30;21200
139937;kia;rio;15000
139968;mazda;mazda 3;19000
139976;kia;rio;15000
139992;suzuki;ertiga;16800
140074;hyundai;elantra;16800
140093;hyundai;elantra;16800
140100;mazda;mazda 3;19000
140102;mazda;cx5;21200
140124;hyundai;elantra;16800
140266;kia;sportage;23400
140267;hyundai;new tucson;21200
140271;suzuki;ertiga;15000
140278;porsche;cayenne s tiptronic;16800
140290;hyundai;h-1 3 van;15000
140308;suzuki;ertiga;15000
140321;hyundai;accent;15000
140329;kia;sportage;23400
140333;suzuki;ertiga;15000
140375;kia;rio;15000
140408;hyundai;elantra;16800
140428;kia;rio;15000
140434;hyundai;accent;15000
140436;kia;rio;15000
140439;kia;cerato;16800
140478;kia;rio;15000
140483;hyundai;accent;16800
140488;kia;soul;16800
140490;mazda;cx5;25800
140506;hyundai;elantra;15000
140516;suzuki;grand nomade;23400
140559;kia;sportage;21200
140582;kia;sportage;21200
140590;kia;rio;15000
140592;mazda;mazda 3;16800
140598;kia;rio;15000
140600;kia;cerato;16800
140641;hyundai;accent;15000
140644;hyundai;accent;15000
140667;hyundai;elantra;15000
140677;kia;rio;15000
140680;kia;cerato;16800
140681;hyundai;new elantra;15000
140690;citroen;c3;19200
140754;hyundai;accent;15000
140762;brilliance;v3;16800
140774;hyundai;new tucson;16800
140775;hyundai;new tucson;16800
140790;kia;rio;15000
140791;kia;rio;15000
140793;kia;rio;15000
140805;mitsubishi;l200;15000
140966;hyundai;h-100 truck;19200
141030;great wall;voleex c30;19000
141135;kia;rio;15000
141151;hyundai;elantra;19000
141161;hyundai;elantra;16800
141163;kia;rio;16800
141189;kia;rio;16800
141202;kia;cerato;16800
141207;mazda;mazda 3;16800
141277;kia;rio;15000
141279;kia;rio;15000
141301;changan;cs 35;15000
141303;great wall;great wall h3;16800
141350;hyundai;elantra;19000
141352;mazda;mazda 3;16800
141364;mazda;mazda 3;15000
141426;suzuki;grand vitara;16800
141476;daihatsu;terios;15000
141496;foton;view;16800
141498;hyundai;elantra;15000
141592;kia;rio;15000
141640;chevrolet;n300;15000
141646;kia;rio;15000
141651;kia;rio;15000
141663;mazda;mazda 3;21200
141734;kia;rio;15000
141737;volkswagen;amarok;30000
141744;hyundai;new tucson;23400
141747;mazda;cx5;16800
141748;kia;rio;15000
141753;daihatsu;terios;25800
141765;kia;k 2700;16800
141841;kia;cerato;19000
141851;hyundai;accent;15000
141984;hyundai;elantra;16800
141994;kia;rio;15000
142011;great wall;great wall m4;15000
142107;kia;cerato;16800
142108;hyundai;elantra;19000
142112;kia;sportage;21200
142114;hyundai;accent;15000
142115;kia;rio;15000
142132;hyundai;new tucson;23400
142172;volkswagen;crafter;21200
142173;volkswagen;crafter;21200
142205;kia;cerato;15000
142222;foton;bj 5041;15000
142248;hyundai;accent;15000
142269;hyundai;accent;15000
142276;hyundai;accent;15000
142390;chevrolet;n300;15000
142394;hyundai;h-100 truck;16800
142427;mazda;mazda 3;16800
142440;kia;sportage;21200
142492;hyundai;elantra;15000
142511;kia;rio;15000
142516;kia;cerato;15000
142538;kia;cerato;15000
142605;hyundai;accent;15000
142607;kia;rio;15000
142608;hyundai;santa fe;27600
142645;kia;rio;15000
142656;kia;rio;15000
142669;great wall;great wall h6;16800
142700;kia;cerato;15000
142701;hyundai;accent;15000
142730;mitsubishi;l200;15000
142786;hyundai;accent;15000
142805;hyundai;santa fe;27600
142826;suzuki;apv furgon;16800
143013;kia;rio;16800
143031;volkswagen;gol;15000
143038;hyundai;accent;15000
143043;mahindra;xuv 500;23400
143079;kia;cerato;16800
143136;jac;j6;15000
143168;hyundai;accent;15000
143184;jinbei;haise;19000
143187;kia;rio;15000
143190;kia;rio;15000
143193;hyundai;h-1 mbus;15000
143202;suzuki;apv gl;16800
143204;kia;rio;15000
143269;mazda;cx5;21200
143316;kia;rio;15000
143360;hyundai;i 10;15000
143389;kia;rio;15000
143461;hyundai;elantra;16800
143463;kia;picanto;15000
143464;hyundai;santa fe;15000
143465;kia;cerato;15000
143466;hyundai;new tucson;23400
143468;hyundai;santa fe;15000
143475;hyundai;h-1 mbus;25800
143477;hyundai;h-1 mbus;23400
143496;hyundai;h-1 3 van;25800
143535;hyundai;accent;15000
143651;hyundai;accent;15000
143660;kia;rio;15000
143664;suzuki;ertiga;15000
143676;kia;rio;15000
143682;kia;rio;15000
143689;kia;cerato;15000
143691;kia;rio;15000
143692;kia;rio;15000
143693;kia;sorento;27600
143714;hyundai;elantra;16800
143738;hyundai;accent;15000
143765;hyundai;elantra;15000
143779;kia;cerato;19000
143822;hyundai;accent;15000
143845;great wall;wingle 5;19000
143864;hyundai;elantra;16800
143872;kia;sorento;15000
143907;kia;sportage;25800
143917;hyundai;i20;15000
143921;kia;cerato;16800
143930;hyundai;accent;15000
143945;hyundai;accent;15000
143977;hyundai;i20;16800
144002;hyundai;elantra;16800
144003;hyundai;i20;16800
144008;kia;optima;19000
144012;kia;sportage;21200
144027;kia;rio;15000
144056;kia;cerato;19000
144087;changan;cs 35;15000
144120;hyundai;creta;19000
144128;hyundai;accent;15000
144143;hyundai;new tucson;25800
144215;mazda;cx5;21200
144239;land rover;discovery 4;25800
144276;hyundai;h-100 truck;16800
144281;hyundai;accent;15000
144296;hyundai;i20;15000
144299;haval;haval h2;16800
144345;volkswagen;voyage;15000
144349;kia;rio;15000
144353;hyundai;creta;19000
144365;hyundai;elantra;19000
144379;hyundai;accent;15000
144380;kia;rio;15000
144425;hyundai;accent;15000
144434;hyundai;elantra;19000
144455;suzuki;ertiga;16800
144492;suzuki;ertiga;16800
144521;kia;cerato;16800
144573;volkswagen;crossfox;15000
144576;kia;rio;15000
144578;hyundai;new tucson;16800
144580;hyundai;santa fe;16800
144582;hyundai;veloster;25800
144586;hyundai;accent;16800
144599;hyundai;new tucson;21200
144625;hyundai;elantra;16800
144631;hyundai;elantra;16800
144634;chevrolet;cruze;15000
144667;hyundai;new tucson;21200
144676;kia;sportage;21200
144683;kia;rio;15000
144831;mazda;mazda 3;15000
144833;kia;rio;15000
144837;changan;new supervan;15000
144846;hyundai;accent;15000
144851;hyundai;accent;15000
144891;hyundai;accent;15000
144923;kia;rio;15000
144926;kia;rio;16800
144940;kia;rio;15000
145021;kia;cerato;15000
145071;kia;rio;15000
145081;daihatsu;terios;19000
145124;suzuki;grand nomade;30000
145214;suzuki;grand nomade;30000
145249;suzuki;ertiga;16800
145259;suzuki;ciaz;15000
145270;hyundai;accent;15000
145272;chevrolet;cruze;19000
145324;mazda;mazda 3;19000
145354;audi;a4;30000
145395;mazda;mazda 3;16800
145396;hyundai;accent;16800
145421;kia;rio;15000
145454;hyundai;elantra;16800
145455;hyundai;elantra;16800
145460;kia;rio;15000
145465;hyundai;h-1 mbus;25800
145471;mazda;mazda 2;15000
145495;kia;rio;16800
145510;kia;sportage;21200
145512;kia;rio;15000
145528;hyundai;santa fe;15000
145533;volkswagen;amarok;30000
145561;hyundai;elantra;16800
145619;kia;cerato;19000
145620;mazda;cx3;25800
145621;kia;cerato;19000
145627;hyundai;accent;15000
145630;hyundai;elantra;16800
145644;mitsubishi;outlander;21200
145657;kia;rio;15000
145661;kia;rio;15000
145695;hyundai;creta;16800
145716;hyundai;elantra;19000
145718;jac;j6;16800
145755;kia;rio;15000
145853;kia;cerato;16800
145924;mazda;mazda 3;16800
145929;hyundai;elantra;15000
145937;mitsubishi;montero;21200
145989;suzuki;ertiga;16800
145993;kia;cerato;15000
146044;hyundai;new tucson;21200
146118;kia;cerato;15000
146128;hyundai;new tucson;25800
146146;hyundai;accent;15000
146221;foton;k1;23400
146275;great wall;great wall h6;16800
146279;mazda;cx3;16800
146313;hyundai;i20;15000
146318;kia;rio;16800
146321;kia;cerato;16800
146347;kia;rio;15000
146459;suzuki;apv gl;16800
146479;kia;rio;15000
146579;hyundai;new elantra;16800
146611;kia;rio;15000
146615;chevrolet;sonic;15000
146617;kia;rio;16800
146642;kia;cerato;16800
146684;kia;cerato;16800
146791;hyundai;santa fe;30000
146830;chevrolet;n300;15000
146862;changan;cs 35;16800
146931;hyundai;h-1 3 van;21200
146941;kia;cerato;15000
146952;jac;s3;15000
146986;foton;view;16800
146999;hyundai;accent;15000
147013;suzuki;apv furgon;16800
147072;mazda;mazda 2;15000
147076;hyundai;elantra;19000
147085;kia;rio;15000
147132;kia;sportage;14000
147160;hyundai;santa fe;30000
147174;hyundai;elantra;16800
147187;kia;sportage;21200
147197;hyundai;h-1 3 van;23400
147233;kia;cerato;15000
147264;kia;rio;15000
147266;hyundai;elantra;16800
147306;hyundai;h-100 truck;19000
147353;hyundai;i20;16800
147354;kia;k 2700;21200
147378;volkswagen;gol;15000
147380;jac;x200;15000
147406;hyundai;accent;16800
147485;hyundai;elantra;16800
147507;kia;cerato;21200
147517;mazda;mazda 3;15000
147519;hyundai;creta;19000
147529;mazda;cx-9;30000
147531;mazda;cx-9;15000
147553;suzuki;vitara;19000
147632;suzuki;s-cross;16800
147639;hyundai;accent;15000
147682;kia;cerato;16800
147705;hyundai;new tucson;27600
147716;mazda;mazda 3;16800
147717;hyundai;santa fe;25800
147752;kia;rio;15000
147823;hyundai;santa fe;15000
147828;hyundai;elantra;14000
147830;haval;haval h2;15000
147837;hyundai;santa fe;27600
147889;kia;rio;15000
